universe_name,holdings_name,Last,Avg,vs Avg,Z Score,Percentile,universe_cusip,holdings_cusip
CM 4.2 04/07/32,NACN 5.949 01/29/34,-24.807670970000004,-28.964818070756756,4.157147100756752,2.4629791562587164,99.72972972972973,13607HR79,136765BX1
WSPCN 4.754 09/12/34,MCAPCO 3.384 11/26/27,21.84341836,7.891981121945945,13.951437238054055,2.4340348791175086,99.72972972972973,92938WAD5,55279QAE0
WSPCN 4.754 09/12/34,PPLCN 3.53 12/10/31,27.432049989999996,19.04941493735135,8.382635052648645,2.3933393635072298,99.72972972972973,92938WAD5,70632ZAS0
GRTCN 6.074 04/12/29,MCAPCO 3.384 11/26/27,-3.3767257100000023,-11.756234789513513,8.379509079513511,2.2358296816246597,99.72972972972973,387427AM9,55279QAE0
WSPCN 4.754 09/12/34,NACN 5.949 01/29/34,27.299064299999998,18.887878564756754,8.411185735243244,2.206195402898722,99.72972972972973,92938WAD5,136765BX1
WSPCN 4.754 09/12/34,NWHUCN 5.019 02/18/28,-61.403333290000006,-82.0289726452973,20.625639355297295,2.1847557432280813,99.72972972972973,92938WAD5,667495AN5
WSPCN 4.754 09/12/34,BMO 4.077 03/05/35,14.734096770000008,5.653840950270269,9.08025581972974,2.145552564366887,99.72972972972973,92938WAD5,06369ZCL6
WSPCN 4.754 09/12/34,GILCN 4.149 11/22/30,16.26942665,8.507755851621623,7.761670798378377,2.1401688230213782,99.72972972972973,92938WAD5,375916AE3
RY 4.642 01/17/28,RY 3.626 12/10/28,-4.767967749999997,-7.62884891237838,2.8608811623783827,2.1385100659015945,98.64864864864865,780086WG5,779926FY5
TIHCN 3.842 10/27/27,TCN 5  09/08/33,-53.31548882,-59.864723164000004,6.549234344000006,2.130193839407991,98.1081081081081,891102AE5,87971MCC5
WSPCN 4.754 09/12/34,RLNCE 5  05/15/31,5.553574429999998,-1.2591961674594605,6.812770597459458,2.123218106357392,99.72972972972973,92938WAD5,759480AN6
APUCN 5.534 09/26/28,F 5.581 02/22/27,11.42967256,-13.825671430054054,25.255343990054055,2.102172144574378,99.72972972972973,019456AK8,34527ACW8
SRUUCN 3.834 12/21/27,MCAPCO 3.384 11/26/27,-15.818182649999997,-24.95730563118919,9.139122981189193,2.099410739955494,99.72972972972973,83179XAH1,55279QAE0
CM 4.2 04/07/32,MCAPCO 3.384 11/26/27,-30.26331691,-39.96071551356757,9.69739860356757,2.0877625117781298,99.72972972972973,13607HR79,55279QAE0
GRTCN 6.074 04/12/29,NWHUCN 5.019 02/18/28,-86.62347736000001,-101.67718855675675,15.053711196756737,2.0844791415557187,99.72972972972973,387427AM9,667495AN5
RCICN 3  04/15/29,BCECN 4.55 02/09/30,-1.3529608500000023,-4.273348582054056,2.9203877320540537,2.0836489362836064,97.56756756756756,775109BT7,07813ZCL6
WSPCN 4.754 09/12/34,LBCN 4.192 01/23/28,19.38935522,12.838763501297295,6.550591718702703,2.0750210908450075,99.72972972972973,92938WAD5,51925DCF1
CSHU 4  03/06/32,MCAPCO 3.384 11/26/27,39.90718023000001,31.023573173945945,8.883607056054064,2.053959312956679,99.72972972972973,16141AAF0,55279QAE0
SRUUCN 3.192 06/11/27,MCAPCO 3.384 11/26/27,-24.00860679,-34.40976203945946,10.401155249459457,2.049588519737675,99.72972972972973,83179XAL2,55279QAE0
RCICN 3  04/15/29,NACN 5.426 08/16/32,11.038914470000009,4.99228131881081,6.046633151189199,2.0366933716176607,98.1081081081081,775109BT7,63306AHF6
SRUUCN 3.834 12/21/27,NWHUCN 5.019 02/18/28,-99.0649343,-114.87825939843243,15.81332509843243,2.0193857996961264,97.02702702702702,83179XAH1,667495AN5
DRSILL 5.111 02/12/29,MCAPCO 3.384 11/26/27,-0.4765317300000049,-10.079462956972973,9.602931226972968,2.0074459025590725,98.64864864864865,26154EAE8,55279QAE0
RCICN 3  04/15/29,TCN 5  09/08/33,-34.79794627,-38.16800771551351,3.370061445513514,2.0052131053630067,97.56756756756756,775109BT7,87971MCC5
SRUUCN 3.192 06/11/27,NWHUCN 5.019 02/18/28,-107.25535844000001,-124.33071580670268,17.075357366702676,1.9862698812681623,97.56756756756756,83179XAL2,667495AN5
CM 4.2 04/07/32,NWHUCN 5.019 02/18/28,-113.51006856000001,-129.8816692808108,16.37160072081079,1.9850263942448214,99.72972972972973,13607HR79,667495AN5
CM 4.2 04/07/32,NACN 5.426 08/16/32,-1.9475160199999948,-5.106622114972971,3.1591060949729766,1.9844572656544017,95.4054054054054,13607HR79,63306AHF6
PLD 5  01/15/31,MCAPCO 3.384 11/26/27,-17.842416830000005,-30.474435756648646,12.632018926648641,1.9792343898711602,99.72972972972973,74340XCD1,55279QAE0
ALACN 3.98 10/04/27,TCN 5  09/08/33,-49.84591822,-53.03964060967567,3.1937223896756706,1.9786497108973664,98.64864864864865,02138ZAQ6,87971MCC5
CSHU 4  03/06/32,NWHUCN 5.019 02/18/28,-43.33957142,-58.89738059329729,15.557809173297294,1.9704566569590076,99.1891891891892,16141AAF0,667495AN5
CM 4.2 04/07/32,RY 4.829 08/08/34,-28.972366750000006,-31.87215262016216,2.8997858701621553,1.9486219058494987,97.56756756756756,13607HR79,7800867G3
WSPCN 4.754 09/12/34,NACN 5.426 08/16/32,50.15921925000001,42.74607452054054,7.413144729459468,1.936842790639085,99.72972972972973,92938WAD5,63306AHF6
WSPCN 4.754 09/12/34,GILCN 4.362 11/22/29,27.275729569999996,20.47121617972973,6.804513390270266,1.934298549765862,99.72972972972973,92938WAD5,375916AA1
BNS 3.934 05/03/32,NACN 5.949 01/29/34,-26.42921966,-28.624310719945946,2.195091059945945,1.9337896060340949,98.1081081081081,06415GDJ6,136765BX1
PLD 5  01/15/31,NWHUCN 5.019 02/18/28,-101.08916848000001,-120.39538952389188,19.306221043891867,1.9305278810706594,96.48648648648648,74340XCD1,667495AN5
WSPCN 4.754 09/12/34,CCDJ 5.279 05/15/34,21.68811606,14.72123147027027,6.9668845897297285,1.9218601537865814,99.72972972972973,92938WAD5,31430WU44
WSPCN 4.754 09/12/34,CM 4.9 06/12/34,20.905517529999997,14.578132359945945,6.327385170054052,1.9196475832786783,98.64864864864865,92938WAD5,13607PBA1
DRSILL 5.111 02/12/29,NWHUCN 5.019 02/18/28,-83.72328338000001,-100.00041672421621,16.277133344216196,1.9146718068786357,98.64864864864865,26154EAE8,667495AN5
RY 4.632 05/01/28,NACN 5.426 08/16/32,-16.135359589999993,-22.13778129427027,6.002421704270276,1.9111543005204623,99.1891891891892,780086XL3,63306AHF6
CSHU 3.65 05/06/28,MCAPCO 3.384 11/26/27,-12.242258750000005,-22.512845074864867,10.270586324864862,1.909622866674866,99.72972972972973,16141AAG8,55279QAE0
CM 4.2 04/07/32,BMO 4.077 03/05/35,-37.372638499999994,-42.198855685243245,4.826217185243252,1.9083215755071852,96.48648648648648,13607HR79,06369ZCL6
TD 4.002 10/31/30,NACN 5.426 08/16/32,-0.8174105899999944,-4.303122160918919,3.485711570918925,1.907698387105274,96.48648648648648,89116CST5,63306AHF6
PPLCN 3.53 12/10/31,NWHUCN 5.019 02/18/28,-88.83538328,-101.07838758264865,12.243004302648643,1.906517351829298,98.64864864864865,70632ZAS0,667495AN5
WSPCN 4.754 09/12/34,BNS 3.934 05/03/32,53.72828396,47.51218928470269,6.216094675297306,1.902845314062112,98.1081081081081,92938WAD5,06415GDJ6
TIHCN 3.842 10/27/27,NACN 5.426 08/16/32,-7.478628079999993,-16.704434129675676,9.225806049675683,1.8974201594671738,95.94594594594594,891102AE5,63306AHF6
CSHU 3.65 05/06/28,NWHUCN 5.019 02/18/28,-95.48901040000001,-112.4337988421081,16.94478844210809,1.895929536982839,99.72972972972973,16141AAG8,667495AN5
CRTUCN 5.828 06/14/28,NWHUCN 5.019 02/18/28,-90.51872425,-104.7083718602162,14.189647610216198,1.8859145984091354,95.4054054054054,126462AJ9,667495AN5
TIHCN 3.842 10/27/27,WFC 5.083 04/26/28,2.9978470799999997,-1.7537165625945947,4.751563642594594,1.883938831339339,97.02702702702702,891102AE5,949746TJ0
CCDJ 5.279 05/15/34,NWHUCN 5.019 02/18/28,-83.09144935,-96.75020411556757,13.658754765567565,1.8794785287555917,99.72972972972973,31430WU44,667495AN5
CM 4.9 06/12/34,NWHUCN 5.019 02/18/28,-82.30885082,-96.60710500524324,14.298254185243238,1.8770345188044757,99.72972972972973,13607PBA1,667495AN5
BMO 4.077 03/05/35,NWHUCN 5.019 02/18/28,-76.13743006000001,-87.68281359556757,11.545383535567552,1.87426403960495,95.4054054054054,06369ZCL6,667495AN5
CM 4.9 06/12/34,MCAPCO 3.384 11/26/27,0.9379008300000038,-6.686151238,7.624052068000004,1.8732004507537585,99.72972972972973,13607PBA1,55279QAE0
BIP 5.71 07/27/30,NWHUCN 5.019 02/18/28,-88.98207758000001,-106.63709483335134,17.655017253351332,1.8719297491465328,93.78378378378378,11291ZAM9,667495AN5
BNS 3.934 05/03/32,NWHUCN 5.019 02/18/28,-115.13161725,-129.54116193,14.409544679999982,1.8713619326654476,99.72972972972973,06415GDJ6,667495AN5
CRTUCN 5.828 06/14/28,MCAPCO 3.384 11/26/27,-7.271972599999998,-14.787418092972972,7.515445492972974,1.8617078326394045,99.72972972972973,126462AJ9,55279QAE0
