Bond_1,Bond_2,Last,Avg,vs Avg,Z Score,Percentile,cusip_1,cusip_2
APUCN 3.095 02/06/32,MCAPCO 4.816 03/04/30,29.0286658,9.773130876702703,19.255534923297297,4.015391308804668,100.0,019456AJ1,55279QAF7
AIREIN 4.97 05/23/34,CPXCN 4.831 09/16/31,-19.01974514999999,-29.559924645567563,10.540179495567571,3.920482397892854,99.45945945945947,00889YAG6,14046ZAS8
BCIMCR 3.281 03/14/28,CPXCN 4.831 09/16/31,-67.9195722,-79.45048824989189,11.530916049891886,3.794060232453923,100.0,05554PAG8,14046ZAS8
ALACN 4.672 01/08/29,CPXCN 5.816 09/15/28,-1.7763222000000098,-10.31413694681081,8.5378147468108,3.5880945364307686,98.91891891891892,02138ZBH5,14046ZAP4
ALACN 2.477 11/30/30,CPXCN 4.831 09/16/31,-29.437561059999993,-39.879688416918924,10.442127356918931,3.4178233043249366,99.45945945945947,02138ZAX1,14046ZAS8
APUCN 4.808 02/24/29,COCAPS 8  05/02/33,-154.87578987999999,-196.91543411356758,42.0396442335676,3.332129524422786,99.45945945945947,019456AL6,190330AN0
BIP 5.439 04/25/34,CPXCN 5.816 09/15/28,49.814140769999995,39.04072940108109,10.773411368918907,3.328216457931585,99.45945945945947,11291ZAH0,14046ZAP4
CM 4.9 06/12/34,CPXCN 4.831 09/16/31,-10.93100677999999,-19.24265019454054,8.311643414540551,3.3158656467082697,99.45945945945947,13607PBA1,14046ZAS8
BIP 5.439 04/25/34,CPXCN 4.831 09/16/31,18.021579090000003,2.6856562280540555,15.335922861945948,3.310102126236303,99.45945945945947,11291ZAH0,14046ZAS8
APUCN 5.534 09/26/28,COCAPS 8  05/02/33,-165.50589961999998,-204.13092060589187,38.625020985891894,3.2879012519124133,100.0,019456AK8,190330AN0
BIP 5.439 04/25/34,DRSILL Float 03/04/28,48.90720576,13.691847134216216,35.21535862578378,3.2855756691477813,100.0,11291ZAH0,26154EAG3
DOLCN 5.165 04/26/30,DRSILL Float 03/04/28,-5.425917589999997,-39.50332047210811,34.07740288210811,3.274432153643497,100.0,25675TAP2,26154EAG3
RCICN 5.7 09/21/28,TCN 5.6 09/09/30,-12.699500659999998,-17.878032475351354,5.178531815351356,3.26559982535181,100.0,775109CV1,87971MCB7
RCICN 5  04/15/52,TCN 5.95 09/08/53,1.5814495099999988,-1.3706554053513542,2.952104915351353,3.2583443510536814,100.0,775109BX8,87971MCD3
HYDONE 3.93 11/30/29,MET Float 04/01/28,-5.770822859999996,-37.17266237529729,31.401839515297297,3.2577492588157297,100.0,44810ZCK4,592179KP9
APUCN 3.095 02/06/32,COCAPS 8  05/02/33,-124.51809234999999,-166.87530187005405,42.357209520054056,3.253275152407764,100.0,019456AJ1,190330AN0
BIP 5.789 04/25/52,CPXCN 4.831 09/16/31,50.36774694000002,38.62611615502703,11.74163078497299,3.2457012116078157,100.0,11291ZAJ6,14046ZAS8
NACN 5.937 12/22/32,CPXCN 4.831 09/16/31,-31.34378491999999,-42.420242146594596,11.076457226594606,3.242841615812704,98.91891891891892,136765BV5,14046ZAS8
CNRCN 4.4 05/10/33,ENBGAS 5.67 10/06/53,-36.54600049,-41.34654595432433,4.80054546432433,3.223697937871502,100.0,136375DE9,29260ZAK2
BIP 5.789 04/25/52,DRSILL Float 03/04/28,81.25337361000001,49.63230706118918,31.62106654881083,3.2189650859917753,100.0,11291ZAJ6,26154EAG3
CHPUCN 5.699 02/28/34,MCAPCO 4.816 03/04/30,-26.26684404999999,-57.42741683627027,31.16057278627028,3.2100811305023638,99.45945945945947,17039AAY2,55279QAF7
ARXCN 3.465 03/10/31,DRSILL Float 03/04/28,25.238240259999998,-6.115589139297298,31.353829399297297,3.2041966648688276,100.0,00208DAB7,26154EAG3
BMW 3.99 10/10/28,DRSILL Float 03/04/28,-9.025876050000008,-41.59087912054054,32.565003070540534,3.203762724467969,100.0,05590HBG1,26154EAG3
BIP 5.98 02/14/33,CPXCN 5.816 09/15/28,40.79748377,31.463040345567563,9.334443424432436,3.194571356713356,99.45945945945947,11291ZAL1,14046ZAP4
BCIMCR 3.281 03/14/28,CPXCN 5.973 01/25/34,-89.35249022000002,-100.52940709827027,11.176916878270248,3.1922776917063653,100.0,05554PAG8,14046ZAR0
BMW 3.7 04/02/29,DRSILL Float 03/04/28,-4.3538800099999975,-36.166792144486486,31.81291213448649,3.1810498531488327,100.0,05590HBJ5,26154EAG3
IFCCN 3.765 05/20/53,MET Float 04/01/28,69.00951266000001,38.58705527935135,30.422457380648666,3.1662422913104877,100.0,45823TAE6,592179KP9
BIP 5.98 02/14/33,DRSILL Float 03/04/28,39.89054876,6.114158078702703,33.7763906812973,3.164730653104483,100.0,11291ZAL1,26154EAG3
BMW 3.7 04/02/29,CPXCN 4.831 09/16/31,-35.23950667999999,-47.17298305064866,11.93347637064867,3.163851634700094,99.45945945945947,05590HBJ5,14046ZAS8
IFCCN 4.645 03/21/60,MET Float 04/01/28,69.97838544999999,42.397992853567565,27.580392596432425,3.1574378260389926,100.0,45823TAQ9,592179KP9
LCN 3.564 12/12/29,MET Float 04/01/28,15.891554180000007,-13.659318298054055,29.55087247805406,3.153674607935418,100.0,539481AT8,592179KP9
