Bond_1,Bond_2,Last,Avg,vs Avg,Z Score,Percentile,cusip_1,cusip_2
ENBCN 6 11/15/28,ENBCN 4.21 02/22/30,-13.477036519999999,-25.97095895210811,12.49392243210811,3.1053682260798197,100.0,29250NBX2,29251ZCC9
TCN 3.4 05/13/32,TCN 2.85 11/13/31,32.07294082999999,9.723148428918918,22.349792401081075,3.0245904931635117,99.45945945945947,87971MBW2,87971MBV4
TCN 3.4 05/13/32,TCN 4.65 08/13/31,14.670629340000005,-7.121073296702702,21.79170263670271,2.8333848779879878,96.75675675675676,87971MBW2,87971MCH4
TCN 3.4 05/13/32,TCN 5  09/08/33,-4.896675520000002,-24.522896414972973,19.62622089497297,2.8294614453990268,100.0,87971MBW2,87971MCC5
ENBCN 6 11/15/28,ENBCN 3.9 02/25/30,-15.3186726,-26.76665433681081,11.44798173681081,2.8064021216479165,98.91891891891892,29250NBX2,29251ZCG0
TCN 3.4 05/13/32,TCN 4.95 03/28/33,-1.1822913099999965,-20.130574327297296,18.9482830172973,2.7816227257484107,97.2972972972973,87971MBW2,87971MCA9
TCN 3.4 05/13/32,TCN 4.95 02/18/31,16.685814899999997,-4.0488442876216215,20.734659187621617,2.7773791687839404,96.75675675675676,87971MBW2,87971MCF8
TCN 3.4 05/13/32,TCN 5.1 02/15/34,-6.928241909999997,-26.446104939405405,19.517863029405408,2.756597260810553,98.91891891891892,87971MBW2,87971MCG6
CNRCN 4.4 08/05/52,CNRCN 5.1 05/02/54,-28.985348610000003,-42.59153297902702,13.60618436902702,2.755364671120339,100.0,136375DB5,136375DM1
TCN 3.4 05/13/32,TCN 5  11/15/32,2.553124479999994,-16.681930420054055,19.23505490005405,2.751975666129984,96.75675675675676,87971MBW2,87971MBX0
TCN 3.4 05/13/32,TCN 5.6 09/09/30,21.406731980000004,2.278896017783784,19.12783596221622,2.6725459861856167,96.75675675675676,87971MBW2,87971MCB7
RCICN 4.55 03/15/52,RCICN 5  04/15/52,-18.75349509,-39.02351256918919,20.270017479189185,2.670534730757612,97.2972972972973,775109CD1,775109BX8
CNRCN 4.4 08/05/52,CNRCN 4.7 05/10/53,-29.04343372000001,-42.76610645627027,13.722672736270262,2.6144035712399614,100.0,136375DB5,136375DG4
VZ 3.55 03/22/51,VZ 4.05 03/22/51,-47.500461920000006,-65.75349368297297,18.253031762972967,2.4668780335391554,99.45945945945947,92343VGB4,92343VGA6
TD 4.994 04/05/29,TD 5.491 09/08/28,5.441464060000001,-0.991610236756757,6.433074296756758,2.2789760540331803,100.0,89115A2Y7,89117GX51
TD 4.994 04/05/29,TD 4.002 10/31/30,-6.871390509999998,-13.431216007027027,6.559825497027029,2.180790196461722,98.91891891891892,89115A2Y7,89116CST5
BNS 2.15 08/01/31,BNS 3.836 09/26/30,-0.9145975200000009,-10.300261782864867,9.385664262864866,2.1718599532474943,97.2972972972973,0641594B9,06418MM43
TD 2.45 01/12/32,TD 4.133 01/09/33,-9.87074398,-17.17915834356757,7.308414363567568,2.1294718176658667,97.2972972972973,89114TZQ8,89116CWY9
TD 4.994 04/05/29,TD 4.68 01/08/29,3.563194899999999,-3.7062292881081076,7.269424188108107,2.127875013521263,98.91891891891892,89115A2Y7,89117GRJ8
ENBCN 5  04/05/34,ENBCN 3.1 09/21/33,13.334159999999997,2.792355088918919,10.541804911081078,2.1064501046261683,100.0,29250NCC7,29251ZBU0
BMO 5.717 09/25/28,BMO 4.42 07/17/29,-6.828545079999998,-15.240528027189189,8.411982947189191,2.0998120003431886,98.91891891891892,06368LWU6,06368L5G7
TD 5.156 01/10/28,TD 5.491 09/08/28,-3.525129419999999,-9.69316480027027,6.168035380270272,2.0989665763958922,97.83783783783784,89115A2M3,89117GX51
BNS 5.65 02/01/34,BNS 4.442 11/15/35,-11.823084629999997,-19.294092028864867,7.47100739886487,2.077894889846827,96.21621621621622,06418JAC5,06418MZ49
BNS 2.15 08/01/31,BNS 3.734 06/27/31,-6.966138099999995,-17.482510201513513,10.516372101513518,2.057115628479315,94.05405405405406,0641594B9,06418YXB9
BNS 5  06/12/28,BNS 3.836 09/26/30,-22.07830973,-30.72859728113514,8.65028755113514,2.041024829809871,99.45945945945947,06418GAD9,06418MM43
F 2.9 02/10/29,F 5.242 05/23/28,7.991544400000009,-15.443665680108108,23.435210080108117,2.0384699268130557,100.0,345397B93,34527ACY4
BNS 5  06/12/28,BNS 4.68 02/01/29,-11.137870389999996,-21.08979926183784,9.951928871837843,2.026485540215207,96.21621621621622,06418GAD9,064164QM1
BMO 4.64 09/10/30,BMO 4.42 07/17/29,11.71202884000001,-0.6912773544864861,12.403306194486495,2.025283992765953,96.75675675675676,06368L8L3,06368L5G7
BMO 4.64 09/10/30,BMO 5.039 05/29/28,15.958414170000005,6.293816056216217,9.664598113783788,2.011225658982767,97.2972972972973,06368L8L3,06368LNK8
RY 4.965 01/24/29,RY 4 10/17/30,-3.8995669399999997,-10.91339172535135,7.01382478535135,2.007690990316103,98.37837837837839,78017DAA6,779926DJ0
BMO 4.64 09/10/30,BMO 4.537 12/18/28,13.443928060000005,3.1173241753513525,10.326603884648652,1.9806158308929875,97.83783783783784,06368L8L3,06368LB88
TD 5.156 01/10/28,TD 4.68 01/08/29,-5.403398580000001,-12.40778385162162,7.004385271621619,1.97459087845177,96.75675675675676,89115A2M3,89117GRJ8
TD 5.156 01/10/28,TD 4.002 10/31/30,-15.837983989999998,-22.13277057054054,6.294786580540542,1.9682767649903032,95.67567567567568,89115A2M3,89116CST5
F 5.8 03/08/29,F 5.242 05/23/28,7.054100169999998,-13.407462856702704,20.461563026702702,1.9322177299803065,99.45945945945947,345397E58,34527ACY4
BNS 4.85 02/01/30,BNS 3.836 09/26/30,-3.253378160000004,-11.639708862864865,8.38633070286486,1.9128804111122188,95.67567567567568,06417XAP6,06418MM43
ENBCN 5.3 04/05/29,ENBCN 4.21 02/22/30,-5.138628069999996,-14.020284979405403,8.881656909405407,1.9104045322466903,95.13513513513514,29250NCB9,29251ZCC9
ENBCN 6 11/15/28,ENBCN 3.55 02/25/28,-1.1359773999999945,-7.805768766864865,6.669791366864871,1.9044711670769776,98.37837837837839,29250NBX2,29251ZCF2
BMO 5.717 09/25/28,BMO 4.537 12/18/28,-5.096645860000002,-11.431926497351352,6.3352806373513495,1.90201157810603,96.21621621621622,06368LWU6,06368LB88
PLD 1  02/01/31,PLD 4.7 03/01/29,1.128721739999996,-7.9706738503243235,9.09939559032432,1.8540132530905795,98.37837837837839,74340XCA7,74340XCL3
DTRGR 5  01/13/30,DTRGR 5.77 09/25/28,20.414983070000005,12.280735688324325,8.13424738167568,1.8500378316806716,95.13513513513514,233853BD1,233852AH5
F 6.8 05/12/28,F 5.242 05/23/28,-8.008620890000003,-31.61805125281081,23.60943036281081,1.8463944677236883,98.91891891891892,345397C92,34527ACY4
BNS 4.85 02/01/30,BNS 4.68 02/01/29,7.687061180000001,-2.000910843567567,9.687972023567568,1.8429504196677002,95.13513513513514,06417XAP6,064164QM1
