Bond_1,Bond_2,Last,Avg,vs Avg,Z Score,Percentile,cusip_1,cusip_2
RCICN 5.7 09/21/28,TCN 5.6 09/09/30,-12.699500659999998,-17.878032475351354,5.178531815351356,3.26559982535181,100.0,775109CV1,87971MCB7
RCICN 5  04/15/52,TCN 5.95 09/08/53,1.5814495099999988,-1.3706554053513542,2.952104915351353,3.2583443510536814,100.0,775109BX8,87971MCD3
RCICN 5.7 09/21/28,TCN 5 09/13/29,-2.9565012399999944,-6.9572447674594615,4.000743527459467,3.0476520824633804,100.0,775109CV1,87971MBZ5
ATH 2.47 06/09/28,TCN 5 09/13/29,5.414532130000012,-6.553469227729731,11.968001357729744,2.9191364476075936,100.0,C04575AE3,87971MBZ5
ATH 2.47 06/09/28,TCN 5 09/13/29,5.414532130000012,-6.553469227729731,11.968001357729744,2.9191364476075936,100.0,BP9499446,87971MBZ5
ATH 2.47 06/09/28,TCN 5.6 09/09/30,-4.328467289999992,-17.47425693562162,13.14578964562163,2.9153587003386776,100.0,C04575AE3,87971MCB7
ATH 2.47 06/09/28,TCN 5.6 09/09/30,-4.328467289999992,-17.47425693562162,13.14578964562163,2.9153587003386776,100.0,BP9499446,87971MCB7
ATH 2.47 06/09/28,TCN 4.8 12/15/28,14.318841020000008,4.128096637027027,10.19074438297298,2.872293069569933,100.0,C04575AE3,87971MCE1
ATH 2.47 06/09/28,TCN 4.8 12/15/28,14.318841020000008,4.128096637027027,10.19074438297298,2.872293069569933,100.0,BP9499446,87971MCE1
ATH 2.47 06/09/28,TCN 4.95 03/28/33,-27.054761909999996,-39.884359862108106,12.82959795210811,2.8533679655051367,100.0,C04575AE3,87971MCA9
ATH 2.47 06/09/28,TCN 4.95 03/28/33,-27.054761909999996,-39.884359862108106,12.82959795210811,2.8533679655051367,100.0,BP9499446,87971MCA9
EDF 6.492 05/23/53,TCN 4.65 08/13/31,104.417203,92.47223935567568,11.944963644324318,2.8351390179524794,98.37837837837839,268317AX2,87971MCH4
EDF 6.492 05/23/53,TCN 4.95 02/18/31,106.67207537,95.54450884681081,11.127566523189188,2.808296934157719,98.91891891891892,268317AX2,87971MCF8
EDF 5.777 05/17/54,TCN 4.95 02/18/31,104.26329019,93.6234200175135,10.63987017248651,2.807640270411847,96.21621621621622,268317BD5,87971MCF8
