Bond_1,Bond_2,Last,Avg,vs Avg,Z Score,Percentile,cusip_1,cusip_2
RCICN 5.7 09/21/28,TCN 5.6 09/09/30,-12.699500659999998,-17.878032475351354,5.178531815351356,3.26559982535181,100.0,775109CV1,87971MCB7
RCICN 5  04/15/52,TCN 5.95 09/08/53,1.5814495099999988,-1.3706554053513542,2.952104915351353,3.2583443510536814,100.0,775109BX8,87971MCD3
CRRUCN 3.133 08/12/31,DRSILL Float 03/04/28,49.16582377,16.37290934291892,32.79291442708109,3.143226263629737,100.0,227107AS8,26154EAG3
BRUPOW 4.7 06/21/31,CPXCN 5.816 09/15/28,7.498461969999994,0.10589524697297148,7.392566723027023,3.134441265539173,99.45945945945947,116705AN4,14046ZAP4
HOMEQU 5.82 08/13/29,MCAPCO 4.816 03/04/30,50.08630052000001,27.77884051486486,22.307460005135148,3.091021766243866,100.0,43739CAC5,55279QAF7
ATH 5.113 03/07/29,MET Float 04/01/28,43.89543486,11.931029744648647,31.964405115351354,3.0811925323672074,100.0,04686PAD9,592179KP9
GEICN 4.45 11/12/31,IPLCN 5.76 02/17/28,27.28392767999999,18.08324250227027,9.20068517772972,3.0612099358432117,100.0,374825AL1,45833VAF6
CRRUCN 4.732 01/15/32,DRSILL Float 03/04/28,54.888304559999995,23.14146573075676,31.746838829243234,3.059479185907654,100.0,227107AV1,26154EAG3
CRTUCN 3.029 02/05/29,DRSILL Float 03/04/28,16.789796859999996,-13.285879518378382,30.075676378378375,3.0554013219625777,100.0,126462AH3,26154EAG3
DRSILL 2.44 07/14/28,DRSILL Float 03/04/28,-2.4601649399999985,-33.71515133037838,31.254986390378384,3.049838220884934,100.0,26154EAD0,26154EAG3
RCICN 5.7 09/21/28,TCN 5 09/13/29,-2.9565012399999944,-6.9572447674594615,4.000743527459467,3.0476520824633804,100.0,775109CV1,87971MBZ5
CHPUCN 4.293 01/16/30,DRSILL Float 03/04/28,7.545597369999996,-23.95629995383784,31.501897323837834,3.0183444334257055,100.0,17039ABA3,26154EAG3
CHPUCN 5.03 02/28/31,DRSILL Float 03/04/28,21.197595699999994,-10.667542877567568,31.865138577567564,3.0175687916674026,100.0,17039AAZ9,26154EAG3
DIRUCN 5.383 03/22/28,DRSILL Float 03/04/28,10.801916340000005,-20.86092579616216,31.662842136162165,2.946848938992556,100.0,26153WAJ8,26154EAG3
