Bond_1,Bond_2,Last,Avg,vs Avg,Z Score,Percentile,cusip_1,cusip_2
BCIMCR 3.281 03/14/28,BMO 4.077 03/05/35,-62.6003983,-69.06189564481082,6.461497344810816,2.5538990293102932,100.0,05554PAG8,06369ZCL6
BCIMCR 3.281 03/14/28,GILCN 4.149 11/22/30,-61.50096243000001,-66.20471928578378,4.703756855783773,2.5116995789455125,100.0,05554PAG8,375916AE3
BIP 5.98 02/14/33,BNS 4.68 02/01/29,62.7379109,57.14319480383783,5.594716096162173,2.4931742917511444,100.0,11291ZAL1,064164QM1
BCIMCR 3.281 03/14/28,GILCN 4.362 11/22/29,-50.418627210000004,-54.234960344810794,3.8163331348107903,2.439785608898883,100.0,05554PAG8,375916AA1
BIP 5.98 02/14/33,RLNCE 2.67 08/01/28,40.17310214,35.19730244091892,4.9757996990810796,2.4343408212269204,99.45945945945947,11291ZAL1,759480AM8
BMO 4.537 12/18/28,BNS 4.68 02/01/29,1.8848858899999996,-0.7645086022162172,2.6493944922162167,2.4064020130332944,100.0,06368LB88,064164QM1
BIP 5.98 02/14/33,BNS 3.734 06/27/31,46.155204940000004,40.327421140324326,5.827783799675679,2.389832254430337,100.0,11291ZAL1,06418YXB9
GEICN 4.45 11/12/31,CM 4.9 06/12/34,17.065965250000005,10.429788856216215,6.63617639378379,2.3828008086567913,99.45945945945947,374825AL1,13607PBA1
BIP 5.98 02/14/33,RY 4.829 08/08/34,23.176224790000006,15.882598866648648,7.2936259233513585,2.3719223374728546,100.0,11291ZAL1,7800867G3
GEICN 4.45 11/12/31,RY 4.829 08/08/34,19.08713250000001,11.841575785675674,7.245556714324335,2.3580710657448276,99.45945945945947,374825AL1,7800867G3
BCIMCR 3.281 03/14/28,CM 4.9 06/12/34,-55.743359500000004,-60.117651717729736,4.374292217729732,2.345111387839988,100.0,05554PAG8,13607PBA1
GEICN 4.45 11/12/31,GILCN 4.149 11/22/30,11.30836232,4.3427212881621635,6.965641031837837,2.330861160806809,99.45945945945947,374825AL1,375916AE3
BAMREP 5.88 11/09/32,BNS 3.734 06/27/31,34.23881075,27.074251956054056,7.164558793945943,2.3026843556164676,100.0,11282ZAR9,06418YXB9
BMO 4.537 12/18/28,RY 4.829 08/08/34,-37.67680022,-42.025104539405405,4.348304319405408,2.289509492577035,100.0,06368LB88,7800867G3
BCIMCR 3.281 03/14/28,NACN 5.949 01/29/34,-50.447923710000005,-55.810375926486486,5.362452216486481,2.2791273649629202,100.0,05554PAG8,136765BX1
RCICN 5.7 09/21/28,BCECN 4.55 02/09/30,-6.299398480000008,-10.710244565081082,4.410846085081074,2.2723859187196567,96.75675675675676,775109CV1,07813ZCL6
GEICN 4.45 11/12/31,NACN 5.949 01/29/34,22.361401040000004,14.737064647459457,7.624336392540547,2.2631197117292157,100.0,374825AL1,136765BX1
BAMREP 5.88 11/09/32,BNS 4.68 02/01/29,50.82151671,43.89002561956757,6.931491090432431,2.2626353937721073,100.0,11282ZAR9,064164QM1
RCICN 5.7 09/21/28,BNS 3.734 06/27/31,2.699896179999996,-3.7939718780540543,6.49386805805405,2.2402360773096404,98.37837837837839,775109CV1,06418YXB9
BIP 5.98 02/14/33,NACN 5.023 02/01/29,61.96661421,57.08229511394594,4.884319096054064,2.237928240213562,98.91891891891892,11291ZAL1,63306AHT6
ETRHWY 3.43 06/01/33,BNS 4.68 02/01/29,1.1858032800000018,-7.452471111351352,8.638274391351354,2.2279469913926295,99.45945945945947,35085ZBP0,064164QM1
ETRHWY 3.43 06/01/33,BNS 3.734 06/27/31,-15.396902679999997,-24.268244774864865,8.871342094864868,2.2272278391844775,99.45945945945947,35085ZBP0,06418YXB9
ETRHWY 2.59 05/25/32,BNS 3.734 06/27/31,-25.811897809999998,-35.08109040156757,9.269192591567574,2.2114620139709107,98.37837837837839,35085ZBX3,06418YXB9
BIP 5.98 02/14/33,GILCN 4.149 11/22/30,15.397454609999997,8.383744369135135,7.013710240864862,2.203972463856732,99.45945945945947,11291ZAL1,375916AE3
CHPUCN 5.699 02/28/34,NWHUCN 5.019 02/18/28,-60.22708110000001,-76.71941476972972,16.492333669729717,2.1985536404582007,97.2972972972973,17039AAY2,667495AN5
ETRHWY 3.43 06/01/33,RLNCE 2.67 08/01/28,-21.379005480000004,-29.39836347427027,8.019357994270266,2.1875439569258415,98.37837837837839,35085ZBP0,759480AM8
WSPCN 4.12 09/12/29,RLNCE 5  05/15/31,-37.39335802999999,-43.236792392324325,5.843434362324338,2.1824670247380493,97.83783783783784,92938WAC7,759480AN6
ETRHWY 2.59 05/25/32,BNS 4.68 02/01/29,-9.22919185,-18.265316738054054,9.036124888054054,2.1788477517513543,100.0,35085ZBX3,064164QM1
BIP 5.98 02/14/33,RLNCE 5  05/15/31,4.475716970000008,-1.379564917945946,5.855281887945954,2.175290589496988,99.45945945945947,11291ZAL1,759480AN6
BCIMCR 3.281 03/14/28,NWHUCN 5.019 02/18/28,-139.62641358000002,-156.85594230135135,17.22952872135133,2.1741757892414477,100.0,05554PAG8,667495AN5
NEE 4.85 04/30/31,BNS 4.68 02/01/29,26.54387774,20.386086478324323,6.157791261675676,2.172566434961046,97.83783783783784,65339KDA5,064164QM1
