CUSIP,Security,Bid Workout Risk,Tight Bid >3mm,Wide Offer >3mm,Bid/Offer>3mm,Tight Bid,Wide Offer,Bid/Offer,Dealer @ Tight Bid >3mm,Dealer @ Wide Offer >3mm,Dealer @ Tight T-1,Dealer @ Wide T-1,Size @ Tight Bid >3mm,Size @ Wide Offer >3mm,CR01 @ Tight Bid,CR01 @ Wide Offer,Cumm. Bid Size,Cumm. Offer Size,# of Bids >3mm,# of Offers >3mm,# Quotes,Bid RBC,Ask RBC,Bid Size RBC,Offer Size RBC,DoD Chg Tight Bid >3mm,DoD Chg Wide Offer >3mm,DoD Chg Tight Bid,DoD Chg Wide Offer,DoD Chg Size @ Tight Bid >3mm,DoD Chg Size @ Wide Offer >3mm,DoD Chg CR01 @ Tight Bid,DoD Chg CR01 @ Wide Offer,DoD Chg Cumm. Bid Size,DoD Chg Cumm. Offer Size,DoD Chg # of Bids >3mm,DoD Chg # of Offers >3mm,DoD Chg Bid RBC,DoD Chg Ask RBC,DoD Chg Bid Size RBC,DoD Chg Offer Size RBC,MTD Chg Tight Bid >3mm,MTD Chg Wide Offer >3mm,MTD Chg Tight Bid,MTD Chg Wide Offer,MTD Chg Size @ Tight Bid >3mm,MTD Chg Size @ Wide Offer >3mm,MTD Chg CR01 @ Tight Bid,MTD Chg CR01 @ Wide Offer,MTD Chg Cumm. Bid Size,MTD Chg Cumm. Offer Size,MTD Chg # of Bids >3mm,MTD Chg # of Offers >3mm,MTD Chg Bid RBC,MTD Chg Ask RBC,MTD Chg Bid Size RBC,MTD Chg Offer Size RBC,YTD Chg Tight Bid >3mm,YTD Chg Wide Offer >3mm,YTD Chg Tight Bid,YTD Chg Wide Offer,YTD Chg Size @ Tight Bid >3mm,YTD Chg Size @ Wide Offer >3mm,YTD Chg CR01 @ Tight Bid,YTD Chg CR01 @ Wide Offer,YTD Chg Cumm. Bid Size,YTD Chg Cumm. Offer Size,YTD Chg # of Bids >3mm,YTD Chg # of Offers >3mm,YTD Chg Bid RBC,YTD Chg Ask RBC,YTD Chg Bid Size RBC,YTD Chg Offer Size RBC,Custom Date Chg Tight Bid >3mm,Custom Date Chg Wide Offer >3mm,Custom Date Chg Tight Bid,Custom Date Chg Wide Offer,Custom Date Chg Size @ Tight Bid >3mm,Custom Date Chg Size @ Wide Offer >3mm,Custom Date Chg CR01 @ Tight Bid,Custom Date Chg CR01 @ Wide Offer,Custom Date Chg Cumm. Bid Size,Custom Date Chg Cumm. Offer Size,Custom Date Chg # of Bids >3mm,Custom Date Chg # of Offers >3mm,Custom Date Chg Bid RBC,Custom Date Chg Ask RBC,Custom Date Chg Bid Size RBC,Custom Date Chg Offer Size RBC,QUANTITY,POSITION CR01,G Sprd,Yrs (Cvn),vs BI,vs BCE,MTD Equity,YTD Equity,Retracement,Yrs Since Issue,Z Score,Retracement2,Rating,Custom_Sector
00206RDY5,T 4.85 05/25/47,12.516,150.0,147.0,3.0,150.0,147.0,3.0,TD,RBC,TD,RBC,5000000.0,5000000.0,6258.0,6258.0,17000000.0,15000000.0,3,2,5,151.0,147.0,5000000.0,5000000.0,1.0,0.0,1.0,0.0,0.0,0.0,5.9999999999990905,5.9999999999990905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,6.0,1.0,0.0,0.0,-114.0,-114.0,-1000000.0,1000000.0,0.0,0.0,5.0,5.0,0.0,0.0,-31.0,-29.0,-30.0,-30.0,0.0,0.0,-181.9999999999991,-181.9999999999991,7000000.0,7000000.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,158.03928828,21.505817932922657,,1.187470773899424,3.111113,17.10003,0.4913151364764268,8.476386036960985,-1.373907269490748,65.57599987779822,BBB,Cable/Telco
00206RGB2,T 4 11/25/25,,47.0,45.0,2.0,47.0,45.0,2.0,BMO,TD,NBF,TD,10000000.0,10000000.0,,,48000000.0,17000000.0,3,2,5,,,,,-1.0,0.0,-1.0,0.0,0.0,0.0,,,35000000.0,2000000.0,2.0,0.0,,,,,4.0,,7.0,2.0,0.0,,,,25000000.0,12000000.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.78188656,0.0109514031485284,14.52374563903982,-7.342055185192464,3.111113,17.10003,0.4913151364764268,7.260780287474333,-0.9845717695374323,21.371101029619332,BBB,Cable/Telco
00206RGC0,T 5.1 11/25/48,13.267999999999997,150.0,148.0,2.0,150.0,148.0,2.0,TD,RBC,TD,RBC,5000000.0,10000000.0,6633.999999999998,13267.999999999996,17000000.0,20000000.0,3,2,5,151.0,148.0,5000000.0,10000000.0,1.0,0.0,1.0,0.0,0.0,0.0,5.999999999998181,11.999999999996362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,7.0,6.0,2.0,0.0,5000000.0,-77.25000000000182,6556.749999999996,4000000.0,11000000.0,1.0,1.0,,,,,-32.0,-29.0,-30.0,-29.0,0.0,5000000.0,-183.50000000000273,6450.499999999995,7000000.0,14000000.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,155.69158947,23.01163586584531,,-1.1163341237312885,3.111113,17.10003,0.4913151364764268,7.260780287474333,-1.3954929436756225,61.77327063040866,BBB,Cable/Telco
00208DAA9,ARXCN 2.354 03/10/26,0.29,48.0,,,48.0,50.0,-2.0,BMO,,BNS,,10000000.0,,290.0,,28000000.0,3000000.0,4,0,5,55.0,50.0,5000000.0,0.0,1.0,,1.0,0.0,5000000.0,,140.0,,15000000.0,1000000.0,2.0,0.0,,,,,1.0,,1.0,1.0,5000000.0,,120.0,,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,-10.0,,-10.0,-10.0,0.0,,-850.0,,6000000.0,-12000000.0,1.0,-2.0,,-2.0,,-5000000.0,-51.0,,-51.0,-45.0,5000000.0,,-704.9999999999999,,15997000.0,-1002000.0,3.0,0.0,-45.0,-45.0,2000000.0,-1000000.0,,,46.70253862,0.298425735797399,13.536869717730228,-8.985612009660393,-3.092389,-1.845841,0.16172506738544468,4.698151950718686,-1.1239509813788156,3.3765676979252603,NR,Oil & Gas
00208DAB7,ARXCN 3.465 03/10/31,4.694,104.0,101.0,3.0,104.0,103.0,1.0,NBF,RBC,NBF,RBC,5000000.0,5000000.0,2347.0,2347.0,17003000.0,15000000.0,3,3,5,106.0,101.0,5000000.0,5000000.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-32.0,-32.0,0.0,3000000.0,0.0,1.0,2.0,2.0,0.0,3000000.0,-18.0,,-18.0,-16.0,0.0,,-283.99999999999955,,-1000000.0,8998000.0,0.0,3.0,-17.0,-17.0,0.0,2000000.0,-65.0,,-64.0,-65.0,0.0,,-499.0,,6000000.0,11000000.0,2.0,3.0,-67.0,-67.0,3000000.0,3000000.0,,,102.36927332,5.297741273100616,39.34071105526211,8.722590116709572,-3.092389,-1.845841,0.16172506738544468,4.698151950718686,-1.4747319194256738,51.177250575364496,NR,Oil & Gas
00208DAC5,ARXCN 3.577 06/17/28,2.45,80.0,78.0,2.0,78.0,78.0,0.0,RBC,BNS,RBC,BNS,5000000.0,5000000.0,1225.0,1225.0,20003000.0,17010000.0,4,3,5,80.0,75.0,5000000.0,2000000.0,0.0,1.0,1.0,1.0,0.0,0.0,-3.9999999999997726,-3.9999999999997726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,-1.0,3.0,0.0,0.0,-29.0,-29.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000000.0,2458.29978226766,75.82319261,2.5708418891170437,24.6363660978604,6.219457769690795,-3.092389,-1.845841,0.16172506738544468,0.4271047227926078,0.053007894967111086,46.17747308299512,NR,Oil & Gas
00208DAD3,ARXCN 4.409 06/17/32,5.632,112.0,109.0,3.0,112.0,110.0,2.0,RBC,NBF,RBC,NBF,5000000.0,5000000.0,2816.0,2816.0,18005000.0,12000000.0,3,2,5,112.0,107.0,5000000.0,5000000.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,2.0,0.0,0.0,-36.0,-36.0,0.0,3000000.0,0.0,1.0,1.0,1.0,0.0,3000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3500000.0,2019.9188729981167,112.16049719,6.403832991101985,43.71044110564589,10.945606071535163,-3.092389,-1.845841,0.16172506738544468,0.4271047227926078,-0.991204804071781,69.39995236683968,NR,Oil & Gas
00217YAA2,ATSCN 6 1/2 08/21/32,3.335,,,,311.42,318.0,-6.579999999999984,,,,,,,,,4000000.0,4000000.0,0,0,2,,,,,,,9.509999999999991,1.0,,,,,-3000.0,-1000.0,0.0,0.0,,,,,,,7.420000000000016,17.230000000000018,,,,,-3000.0,-1000.0,0.0,0.0,,,,,,,-9.579999999999984,3.0,,,,,1997000.0,1999000.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,334.07418988,3.748117727583847,271.6975836322187,248.56965260028315,-11.48263,-22.1031,0.2548772813089992,1.2484599589322385,-0.6129112225984922,63.987381145363884,BB-,HY
007863AG8,AERMON 5.472 04/16/40,10.99,93.0,,,93.0,96.0,-3.0,NBF,,NBF,,5000000.0,,5495.0,,18000000.0,0.0,3,0,5,101.0,96.0,5000000.0,0.0,2.0,,2.0,0.0,0.0,,0.9999999999990905,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,-54.0,,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,-23.0,,-23.0,-20.0,0.0,,-356.0,,7000000.0,-1000000.0,2.0,0.0,-17.0,-17.0,2000000.0,-1000000.0,,,,,,,,,,,,,,,,,,,117.72092441,14.401095140314853,,-25.66052312843992,,,,15.597535934291582,-1.4676931669862892,100.0,A+,Airport
007863AH6,AERMON 3.919 09/26/42,10.931999999999999,97.0,,,97.0,99.0,-2.0,NBF,,NBF,,5000000.0,,5465.999999999999,,19000000.0,2000000.0,3,0,5,104.0,99.0,5000000.0,0.0,2.0,,2.0,0.0,0.0,,-1.0000000000009095,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,2.0,3.0,0.0,,-66.00000000000091,,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,-19.0,,-19.0,-15.0,0.0,,-332.0000000000009,,5000000.0,-3000000.0,2.0,0.0,-14.0,-14.0,3000000.0,-3000000.0,,,,,,,,,,,,,,,,,,,113.5442378,16.84599589322382,,-34.750323930828486,,,,13.149897330595484,-1.5194080577519948,88.73244510114795,A+,Airport
007863AJ2,AERMON 3.918 06/12/45,11.908,103.0,,,100.0,99.0,1.0,BMO,,BMO,,5000000.0,,5954.0,,19000000.0,3000000.0,2,0,5,104.0,99.0,5000000.0,0.0,0.0,,2.0,0.0,0.0,,3.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,3.0,0.0,0.0,,-77.00000000000091,,0.0,-3000000.0,0.0,0.0,3.0,3.0,0.0,0.0,-12.0,,-15.0,-15.0,0.0,,-360.9999999999991,,6000000.0,0.0,1.0,0.0,-14.0,-14.0,3000000.0,-1000000.0,,,,,,,,,,,,,,,,,,,111.35320596,19.5564681724846,,-43.27828616913578,,,,10.442162902121837,-1.4926665277478575,82.47120297597787,A+,Airport
007863AK9,AERMON 3.36 04/24/47,11.83,103.0,,,101.0,99.0,2.0,BMO,,BMO,,5000000.0,,5915.0,,19000000.0,1000000.0,2,0,5,104.0,99.0,5000000.0,0.0,0.0,,1.0,0.0,0.0,,5.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,2.0,0.0,0.0,,-79.00000000000091,,0.0,-4000000.0,0.0,0.0,3.0,3.0,0.0,0.0,-12.0,,-14.0,-15.0,0.0,,-355.0000000000009,,2000000.0,-3000000.0,-1.0,0.0,-14.0,-14.0,3000000.0,-1000000.0,,,,,,,,,,,,,,,,,,,108.73685767,21.42094455852156,,-46.73181216288231,,,,8.574948665297741,-1.4391978132655887,74.07216117254534,A+,Airport
007863AL7,AERMON 3.03 04/21/50,12.069999999999999,101.0,,,101.0,99.0,2.0,NBF,,NBF,,5000000.0,,6034.999999999999,,21000000.0,5000000.0,3,0,5,104.0,99.0,5000000.0,2000000.0,1.0,,1.0,1.0,0.0,,-1.2500000000009095,,5000000.0,2000000.0,1.0,0.0,,,,,2.0,,2.0,0.0,0.0,,-88.0,,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,-12.0,,-12.0,-15.0,0.0,,-372.0000000000018,,1000000.0,-1000000.0,0.0,0.0,-13.0,-13.0,0.0,-1000000.0,,,,,,,,,,,,,,,,,,,102.44731434,24.413415468856947,,-53.65350972782821,,,,5.582477754962355,-1.6099159157215446,81.47007563548823,A+,Airport
007863AM5,AERMON 3.441 04/26/51,12.882,101.0,,,101.0,99.0,2.0,NBF,,NBF,,5000000.0,,6441.0,,21000000.0,6000000.0,3,0,5,104.0,99.0,5000000.0,2000000.0,1.0,,1.0,1.0,0.0,,-1.5000000000009095,,5000000.0,2000000.0,1.0,0.0,,,,,2.0,,2.0,0.0,0.0,,-96.00000000000091,,0.0,-2000000.0,0.0,0.0,3.0,3.0,0.0,0.0,-12.0,,-12.0,-15.0,0.0,,-405.9999999999991,,-2000000.0,3000000.0,-1.0,0.0,-13.0,-13.0,0.0,-1000000.0,,,,,,,,,,,,,,,,,,,100.33701436,25.426420260095824,,-55.21801301243876,,,,4.569472963723477,-1.6354309029204555,80.63309012543573,A+,Airport
