Bond_1,Bond_2,Last,Avg,vs Avg,Z Score,Percentile,cusip_1,cusip_2
ALACN 4.672 01/08/29,CPXCN 5.816 09/15/28,-1.7763222000000098,-10.31413694681081,8.5378147468108,3.5880945364307686,98.91891891891892,02138ZBH5,14046ZAP4
ALACN 2.477 11/30/30,CPXCN 4.831 09/16/31,-29.437561059999993,-39.879688416918924,10.442127356918931,3.4178233043249366,99.45945945945947,02138ZAX1,14046ZAS8
APUCN 4.808 02/24/29,COCAPS 8  05/02/33,-154.87578987999999,-196.91543411356758,42.0396442335676,3.332129524422786,99.45945945945947,019456AL6,190330AN0
APUCN 5.534 09/26/28,COCAPS 8  05/02/33,-165.50589961999998,-204.13092060589187,38.625020985891894,3.2879012519124133,100.0,019456AK8,190330AN0
BMW 3.99 10/10/28,DRSILL Float 03/04/28,-9.025876050000008,-41.59087912054054,32.565003070540534,3.203762724467969,100.0,05590HBG1,26154EAG3
DTRGR 5.77 09/25/28,DRSILL Float 03/04/28,-10.552946559999995,-40.93708377232432,30.384137212324326,3.1451915783739386,100.0,233852AH5,26154EAG3
BMW 4.66 04/05/28,DRSILL Float 03/04/28,-14.20682644,-46.29027175183783,32.08344531183783,3.13316067632335,100.0,05590HBE6,26154EAG3
ALACN 2.075 05/30/28,DRSILL Float 03/04/28,-20.876580179999998,-51.81580520670269,30.939225026702694,3.13273781248705,100.0,02138ZAW3,26154EAG3
ALACN 4.672 01/08/29,DRSILL Float 03/04/28,-2.683257210000008,-35.663019213675675,32.97976200367567,3.130234954186678,100.0,02138ZBH5,26154EAG3
BIP 5.439 04/25/34,PPLCN 5.21 01/12/34,8.951393729999992,2.000317940486487,6.951075789513506,3.1245496910840256,100.0,11291ZAH0,70632ZAW1
ATDBCN 5.592 09/25/30,MCAPCO 4.816 03/04/30,-68.60242103,-91.58688720654054,22.984466176540536,3.1104730326245615,99.45945945945947,01626PAS5,55279QAF7
HOMEQU 5.82 08/13/29,MCAPCO 4.816 03/04/30,50.08630052000001,27.77884051486486,22.307460005135148,3.091021766243866,100.0,43739CAC5,55279QAF7
AIREIN 4.97 05/23/34,CPXCN 5.973 01/25/34,-40.45266317000001,-50.63884349394595,10.18618032394594,3.0710829120580447,99.45945945945947,00889YAG6,14046ZAR0
DOLCN 5.533 09/26/28,DRSILL Float 03/04/28,-15.73289785,-51.69778113454054,35.96488328454054,3.059919524507036,100.0,25675TAQ0,26154EAG3
DRSILL 2.44 07/14/28,DRSILL Float 03/04/28,-2.4601649399999985,-33.71515133037838,31.254986390378384,3.049838220884934,100.0,26154EAD0,26154EAG3
BCIMCR 3.281 03/14/28,DRSILL Float 03/04/28,-37.033945530000004,-68.44429734372973,31.410351813729726,3.0455990429479924,100.0,05554PAG8,26154EAG3
NACN 5.937 12/22/32,DRSILL Float 03/04/28,-0.45815824999999677,-31.41405124043243,30.95589299043243,3.039096115757051,100.0,136765BV5,26154EAG3
CP 2.54 02/28/28,MET Float 04/01/28,-7.034476980000001,-36.83127359886487,29.796796618864867,3.026065709071892,100.0,13645RBC7,592179KP9
CNQCN 2  01/17/28,DRSILL Float 03/04/28,-18.74855065,-50.62021812940541,31.87166747940541,3.0066210393311406,100.0,13638ZDX0,26154EAG3
CTLONE 4.648 02/07/28,DRSILL Float 03/04/28,0.11432471999999905,-33.14346505383784,33.25778977383784,3.0037213061383286,100.0,154728AT6,26154EAG3
BIP 5.439 04/25/34,CPXCN 5.973 01/25/34,-3.4113389300000136,-18.393262620324325,14.981923690324312,2.9963940953059223,98.91891891891892,11291ZAH0,14046ZAR0
BRUPOW 2.68 12/21/28,DRSILL Float 03/04/28,-25.00278086,-58.256351580702706,33.253570720702704,2.9899673241116806,100.0,116705AK0,26154EAG3
APUCN 4.808 02/24/29,F 5.242 05/23/28,-12.506917799999997,-40.50444699578378,27.997529195783784,2.9843043610841553,99.45945945945947,019456AL6,34527ACY4
