Bond_1,Bond_2,Last,Avg,vs Avg,Z Score,Percentile,cusip_1,cusip_2
DRSILL 2.44 07/14/28,DRSILL Float 03/04/28,-2.4601649399999985,-33.71515133037838,31.254986390378384,3.049838220884934,100.0,26154EAD0,26154EAG3
DRSILL 5.111 02/12/29,DRSILL Float 03/04/28,18.617406599999995,-11.66184193762162,30.279248537621616,2.936229577080952,100.0,26154EAE8,26154EAG3
ONT 2  12/02/31,ONT 3  12/02/53,-51.784700859999994,-55.74955232891892,3.9648514689189227,2.8843162304456325,98.91891891891892,68333ZAT4,68333ZAV9
MET 1.95 03/20/28,MET Float 04/01/28,-4.979958230000001,-32.53675830610811,27.55680007610811,2.8265260772312186,100.0,592179KA2,592179KP9
ONT 2  12/02/31,ONT 4.15 12/02/54,-52.34509015,-56.211684201729724,3.8665940517297273,2.7877903905058075,98.91891891891892,68333ZAT4,68333ZBA4
DRSILL 4.507 02/12/31,DRSILL Float 03/04/28,42.66454937,13.924038857027025,28.74051051297298,2.752489206535575,100.0,26154EAF5,26154EAG3
MET 2.45 01/12/29,MET Float 04/01/28,-4.12335135,-30.303828482540542,26.180477132540542,2.749216742784869,100.0,592179KB0,592179KP9
HYDONE 3.93 11/30/29,HYDONE 4.85 11/30/54,-61.880176799999994,-68.52789570454054,6.647718904540547,2.7223297385953438,98.91891891891892,44810ZCK4,44810ZCQ1
BIP 5.439 04/25/34,BIP 5.95 07/27/53,-30.51402112999999,-36.46329346481081,5.949272334810821,2.638442460812764,96.75675675675676,11291ZAH0,11291ZAN7
HYDONE 4.16 01/27/33,HYDONE 4.85 11/30/54,-34.38795929999999,-38.136011986270276,3.7480526862702845,2.627641399199995,100.0,44810ZCL2,44810ZCQ1
HYDONE 3.93 11/30/29,HYDONE 4.46 01/27/53,-62.14156349,-68.04750045367567,5.905936963675664,2.502231174481025,98.91891891891892,44810ZCK4,44810ZCM0
ALACN 4.672 01/08/29,ALACN 5.141 03/14/34,-42.35889867,-45.53543279627027,3.176534126270269,2.420409292016209,98.91891891891892,02138ZBH5,02138ZBJ1
GM 5.2 02/09/28,GM 5.1 07/14/28,-4.441411049999999,-7.60678438708108,3.165373337081081,2.2120080356115746,99.45945945945947,37045YAK0,37045YAM6
BAMREP 5.88 11/09/32,BAMREP 5.318 01/10/54,-43.30436286000001,-48.994300782216214,5.6899379222162025,2.211314472194138,100.0,11282ZAR9,11282ZAT5
RCICN 5.7 09/21/28,RCICN 5.8 09/21/30,-15.079344719999995,-18.662262930324324,3.5829182103243298,2.1559330080476977,100.0,775109CV1,775109CW9
REIUCN 4.623 10/03/31,REIUCN 4.671 03/01/32,-1.0803178400000206,-3.9006684605405386,2.820350620540518,2.1472739579619438,98.91891891891892,766910BR3,766910BU6
TOYOTA 4.33 01/24/28,TOYOTA 4.46 03/19/29,-5.074342780000002,-9.035390230432434,3.9610474504324316,2.1353296010097846,99.45945945945947,892329BQ5,892329BV4
EDF 5.777 05/17/54,EDF 5.231 02/06/55,11.950250839999995,4.432961945999997,7.517288893999998,2.1216484007796645,97.83783783783784,268317BD5,268317BH6
